Subject,Object,Predicate,Valence,GroundTruth,Treatment,Population,URL,Document
S. flavida,aging process,inhibit,-1,positive,,rat NIH3T3 fibroblasts,https://www.ncbi.nlm.nih.gov/pubmed/30474871,"Aging contributes to an increased risk of developing a number of neurodegenerative and chronic disorders, predominantly related to oxidative stress (OS) and defects in the antioxidant balance. This study focused on the antisenescence effect of four plant species (Falcaria vulgaris, Ixiolirion tataricum, Ajuga chamaecistus, and Scabiosa flavida) on H2 O2 -induced premature senescence in rat NIH3T3 fibroblasts, which were found to be rich in effective phytochemicals with traditional ethnobotanical backgrounds. Plant materials were collected, identified, and extracted. To determine the viability of NIH3T3 cells, an MTT assay was conducted. The levels of OS markers and the senescence-associated ß-galactosidase (SA-ß-GAL) activity were analyzed by the Elisa reader. The cell cycle pattern was evaluated by flow cytometry. The expression of senescence-related inflammatory cytokines and the molecules involved in aging signaling pathways were investigated using the real-time reverse transcription polymerase chain reaction (RT-PCR). H2 O2 treatment decreased cell viability and increased lipid peroxidation (LPO) and the reactive oxygen species (ROS) in NIH3T3s. However, S. flavida exhibited low cytotoxicity, reduced OS and SA-ß-GAL activities in NIH3T3 cells compared with the H2 O2 -treated group. I. tataricum was the second best plant, although it was more toxic to NIHT3T cells. S. flavida decreased G0/G1 arrest and facilitated the G2/M transition of NIH3T3s, also downregulated the expression of p38, p53, p16, and the related inflammatory mediators. S. flavida potentially modulated senescence-associated hallmarks in fibroblasts exposed to H2 O2 , thus it may inhibit the aging process via controlling the OS. Therefore it is a promising candidate for future antiaging explorations."
H2 O2 treatment,reactive oxygen species,increased,1,positive,,rat NIH3T3 fibroblasts,https://www.ncbi.nlm.nih.gov/pubmed/30474871,"Aging contributes to an increased risk of developing a number of neurodegenerative and chronic disorders, predominantly related to oxidative stress (OS) and defects in the antioxidant balance. This study focused on the antisenescence effect of four plant species (Falcaria vulgaris, Ixiolirion tataricum, Ajuga chamaecistus, and Scabiosa flavida) on H2 O2 -induced premature senescence in rat NIH3T3 fibroblasts, which were found to be rich in effective phytochemicals with traditional ethnobotanical backgrounds. Plant materials were collected, identified, and extracted. To determine the viability of NIH3T3 cells, an MTT assay was conducted. The levels of OS markers and the senescence-associated ß-galactosidase (SA-ß-GAL) activity were analyzed by the Elisa reader. The cell cycle pattern was evaluated by flow cytometry. The expression of senescence-related inflammatory cytokines and the molecules involved in aging signaling pathways were investigated using the real-time reverse transcription polymerase chain reaction (RT-PCR). H2 O2 treatment decreased cell viability and increased lipid peroxidation (LPO) and the reactive oxygen species (ROS) in NIH3T3s. However, S. flavida exhibited low cytotoxicity, reduced OS and SA-ß-GAL activities in NIH3T3 cells compared with the H2 O2 -treated group. I. tataricum was the second best plant, although it was more toxic to NIHT3T cells. S. flavida decreased G0/G1 arrest and facilitated the G2/M transition of NIH3T3s, also downregulated the expression of p38, p53, p16, and the related inflammatory mediators. S. flavida potentially modulated senescence-associated hallmarks in fibroblasts exposed to H2 O2 , thus it may inhibit the aging process via controlling the OS. Therefore it is a promising candidate for future antiaging explorations."
S. flavida,SA-ß-GAL activities,reduced,-1,positive,,rat NIH3T3 fibroblasts,https://www.ncbi.nlm.nih.gov/pubmed/30474871,"Aging contributes to an increased risk of developing a number of neurodegenerative and chronic disorders, predominantly related to oxidative stress (OS) and defects in the antioxidant balance. This study focused on the antisenescence effect of four plant species (Falcaria vulgaris, Ixiolirion tataricum, Ajuga chamaecistus, and Scabiosa flavida) on H2 O2 -induced premature senescence in rat NIH3T3 fibroblasts, which were found to be rich in effective phytochemicals with traditional ethnobotanical backgrounds. Plant materials were collected, identified, and extracted. To determine the viability of NIH3T3 cells, an MTT assay was conducted. The levels of OS markers and the senescence-associated ß-galactosidase (SA-ß-GAL) activity were analyzed by the Elisa reader. The cell cycle pattern was evaluated by flow cytometry. The expression of senescence-related inflammatory cytokines and the molecules involved in aging signaling pathways were investigated using the real-time reverse transcription polymerase chain reaction (RT-PCR). H2 O2 treatment decreased cell viability and increased lipid peroxidation (LPO) and the reactive oxygen species (ROS) in NIH3T3s. However, S. flavida exhibited low cytotoxicity, reduced OS and SA-ß-GAL activities in NIH3T3 cells compared with the H2 O2 -treated group. I. tataricum was the second best plant, although it was more toxic to NIHT3T cells. S. flavida decreased G0/G1 arrest and facilitated the G2/M transition of NIH3T3s, also downregulated the expression of p38, p53, p16, and the related inflammatory mediators. S. flavida potentially modulated senescence-associated hallmarks in fibroblasts exposed to H2 O2 , thus it may inhibit the aging process via controlling the OS. Therefore it is a promising candidate for future antiaging explorations."
S. flavida,p16,downregulated expression of,-1,positive,,rat NIH3T3 fibroblasts,https://www.ncbi.nlm.nih.gov/pubmed/30474871,"Aging contributes to an increased risk of developing a number of neurodegenerative and chronic disorders, predominantly related to oxidative stress (OS) and defects in the antioxidant balance. This study focused on the antisenescence effect of four plant species (Falcaria vulgaris, Ixiolirion tataricum, Ajuga chamaecistus, and Scabiosa flavida) on H2 O2 -induced premature senescence in rat NIH3T3 fibroblasts, which were found to be rich in effective phytochemicals with traditional ethnobotanical backgrounds. Plant materials were collected, identified, and extracted. To determine the viability of NIH3T3 cells, an MTT assay was conducted. The levels of OS markers and the senescence-associated ß-galactosidase (SA-ß-GAL) activity were analyzed by the Elisa reader. The cell cycle pattern was evaluated by flow cytometry. The expression of senescence-related inflammatory cytokines and the molecules involved in aging signaling pathways were investigated using the real-time reverse transcription polymerase chain reaction (RT-PCR). H2 O2 treatment decreased cell viability and increased lipid peroxidation (LPO) and the reactive oxygen species (ROS) in NIH3T3s. However, S. flavida exhibited low cytotoxicity, reduced OS and SA-ß-GAL activities in NIH3T3 cells compared with the H2 O2 -treated group. I. tataricum was the second best plant, although it was more toxic to NIHT3T cells. S. flavida decreased G0/G1 arrest and facilitated the G2/M transition of NIH3T3s, also downregulated the expression of p38, p53, p16, and the related inflammatory mediators. S. flavida potentially modulated senescence-associated hallmarks in fibroblasts exposed to H2 O2 , thus it may inhibit the aging process via controlling the OS. Therefore it is a promising candidate for future antiaging explorations."
rapamycin,aging phenotypes,delays,-1,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,healthspan,improves,1,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,frailty,reduced,-1,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,neuromuscular coordination,improved,1,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,long-term memory,improved,1,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,lifespan,showing no beneficial effects,0,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,inflammaging,showing no beneficial effects,0,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,inflammaging,via suppression,-1,negative,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
pterostilbene,age-related diseases,potential for prevention,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,dementia,associated ... with protection against,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,brain changes associated with aging,more effective,1,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
resveratrol,neuroprotective ... effect,do not provide evidence,0,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,oxidative stress,may reduce,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/28834388,"Dry eye, an age-related condition, is a multifactorial disease of the tears and ocular surface that results in symptoms of discomfort, visual disturbance and tear film instability. Environmental factors are also often implicated in dry eye including exposure to pollutants, ultraviolet (UV) radiation and ozone as well as the chronic use of preserved eyedrops such as in the treatment of glaucoma. These factors increase oxidative stress and ocular surface inflammation. Here, we reviewed the cellular, animal and clinical studies that point to the role of oxidative stress in dry eye disease. The biomarkers used to indicate oxidative damage in ocular surface tissues include 8-hydroxy-2 deoxyguanosine (8-OHdG), 4-hydroxynonenal (HNE) and malondialdehyde (MDD). Antioxidative defences in the ocular surface occur in the form of tear proteins such as lactoferrin and S100A proteins, and enzymes such as superoxide dismutase (SOD), peroxidase, catalase and mitochondrial oxidative enzymes. An imbalance between the level of reactive oxygen species (ROS) and the action of protective enzymes will lead to oxidative damage, and possibly inflammation. A small number of interventional studies suggest that oxidative stress may be directly targeted in topical therapy of dry eye treatment. For example, in vitro studies suggest that L-carnitine and pterostilbene, a blueberry component may reduce oxidative stress, and in animal studies, alpha-lipoic acid (ALP) and selenoprotein P may be helpful. Examples of treatments used in clinical trials include vitamin B12 eyedrops and iodide iontophoresis. With recent emphasis on ageing medicine and preventive holistic health, as well as the role of environmental science, research on oxidative stress in the ocular surface is likely to have increasing impact in the coming years."
oxidative damage,4-hydroxynonenal,biomarkers used to indicate,1,positive,,ocular surface tissue,https://www.ncbi.nlm.nih.gov/pubmed/28834388,"Dry eye, an age-related condition, is a multifactorial disease of the tears and ocular surface that results in symptoms of discomfort, visual disturbance and tear film instability. Environmental factors are also often implicated in dry eye including exposure to pollutants, ultraviolet (UV) radiation and ozone as well as the chronic use of preserved eyedrops such as in the treatment of glaucoma. These factors increase oxidative stress and ocular surface inflammation. Here, we reviewed the cellular, animal and clinical studies that point to the role of oxidative stress in dry eye disease. The biomarkers used to indicate oxidative damage in ocular surface tissues include 8-hydroxy-2 deoxyguanosine (8-OHdG), 4-hydroxynonenal (HNE) and malondialdehyde (MDD). Antioxidative defences in the ocular surface occur in the form of tear proteins such as lactoferrin and S100A proteins, and enzymes such as superoxide dismutase (SOD), peroxidase, catalase and mitochondrial oxidative enzymes. An imbalance between the level of reactive oxygen species (ROS) and the action of protective enzymes will lead to oxidative damage, and possibly inflammation. A small number of interventional studies suggest that oxidative stress may be directly targeted in topical therapy of dry eye treatment. For example, in vitro studies suggest that L-carnitine and pterostilbene, a blueberry component may reduce oxidative stress, and in animal studies, alpha-lipoic acid (ALP) and selenoprotein P may be helpful. Examples of treatments used in clinical trials include vitamin B12 eyedrops and iodide iontophoresis. With recent emphasis on ageing medicine and preventive holistic health, as well as the role of environmental science, research on oxidative stress in the ocular surface is likely to have increasing impact in the coming years."
