Subject,Object,Predicate,Valence,GroundTruth,Treatment,Population,URL,Document
pterostilbene,catalase ... activity,elevated,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,superoxide dismutase activities,elevated,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,carbonylated proteins,lowered,-1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,mitochondrial biogenesis,extrapolate to hike in,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,inflammation,ablated,-1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,intracerebroventricular administered streptozotocin (STZ) induced memory decline,ameliorating,-1,negative,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
autophagy,large insoluble protein aggregates,removing,-1,negative,in vitro,cells from aggressive acute lymphoblastic leukemia,https://www.ncbi.nlm.nih.gov/pubmed/26477823,"BACKGROUND: Environmental conditions or chemical agents can interfere with the function of the endoplasmic reticulum, and the resulting endoplasmic reticulum (ER) stress can be toxic to the cell if it is not relieved. The classical compensatory response to ER stress is the unfolded protein response (UPR) that reduces protein load in the ER. However, autophagy may also compensate by removing large insoluble protein aggregates. Agents that stress the ER can have anti-cancer activity, and novel applications of ER stress inducing agents are being investigated. Plant stilbenes are a class of stress responsive molecules that includes resveratrol, which are being investigated as potential therapeutics in humans for conditions such as aging or cancer. RESULTS: We performed a screen of 1726 small, drug like molecules to identify those that could activate an ER-stress responsive luciferase gene. After secondary screening, we determined that the plant stilbenes pterostilbene and piceatannol were the most potent inducers of ER stress from this group. ER stress can be particularly toxic to cells with high ER load, so we examined their effect on cells expressing the Wnt family of secreted glycoprotein growth factors. Molecular analysis determined that these ER stress-inducing stilbenes could block Wnt processing and also induce autophagy in acute lymphoblastic leukemia cells expressing Wnt16. Combining pterostilbene (to induce ER stress) with chloroquine (to inhibit autophagy) lead to significant cellular toxicity in cells from aggressive acute lymphoblastic leukemia. CONCLUSIONS: Plant stilbenes are potent inducers of ER stress. However, their toxicity is more pronounced in cancer cells expressing Wnt growth factors. The toxicity of stilbenes in these ALL cells can be potentiated by the addition of autophagy inhibitors, suggesting a possible therapeutic application."
pterostilbene,endoplasmic reticulum ... stress,inducers,1,positive,in vitro,cells from aggressive acute lymphoblastic leukemia,https://www.ncbi.nlm.nih.gov/pubmed/26477823,"BACKGROUND: Environmental conditions or chemical agents can interfere with the function of the endoplasmic reticulum, and the resulting endoplasmic reticulum (ER) stress can be toxic to the cell if it is not relieved. The classical compensatory response to ER stress is the unfolded protein response (UPR) that reduces protein load in the ER. However, autophagy may also compensate by removing large insoluble protein aggregates. Agents that stress the ER can have anti-cancer activity, and novel applications of ER stress inducing agents are being investigated. Plant stilbenes are a class of stress responsive molecules that includes resveratrol, which are being investigated as potential therapeutics in humans for conditions such as aging or cancer. RESULTS: We performed a screen of 1726 small, drug like molecules to identify those that could activate an ER-stress responsive luciferase gene. After secondary screening, we determined that the plant stilbenes pterostilbene and piceatannol were the most potent inducers of ER stress from this group. ER stress can be particularly toxic to cells with high ER load, so we examined their effect on cells expressing the Wnt family of secreted glycoprotein growth factors. Molecular analysis determined that these ER stress-inducing stilbenes could block Wnt processing and also induce autophagy in acute lymphoblastic leukemia cells expressing Wnt16. Combining pterostilbene (to induce ER stress) with chloroquine (to inhibit autophagy) lead to significant cellular toxicity in cells from aggressive acute lymphoblastic leukemia. CONCLUSIONS: Plant stilbenes are potent inducers of ER stress. However, their toxicity is more pronounced in cancer cells expressing Wnt growth factors. The toxicity of stilbenes in these ALL cells can be potentiated by the addition of autophagy inhibitors, suggesting a possible therapeutic application."
pterostilbene,Wnt processing,block,-1,positive,in vitro,cells from aggressive acute lymphoblastic leukemia,https://www.ncbi.nlm.nih.gov/pubmed/26477823,"BACKGROUND: Environmental conditions or chemical agents can interfere with the function of the endoplasmic reticulum, and the resulting endoplasmic reticulum (ER) stress can be toxic to the cell if it is not relieved. The classical compensatory response to ER stress is the unfolded protein response (UPR) that reduces protein load in the ER. However, autophagy may also compensate by removing large insoluble protein aggregates. Agents that stress the ER can have anti-cancer activity, and novel applications of ER stress inducing agents are being investigated. Plant stilbenes are a class of stress responsive molecules that includes resveratrol, which are being investigated as potential therapeutics in humans for conditions such as aging or cancer. RESULTS: We performed a screen of 1726 small, drug like molecules to identify those that could activate an ER-stress responsive luciferase gene. After secondary screening, we determined that the plant stilbenes pterostilbene and piceatannol were the most potent inducers of ER stress from this group. ER stress can be particularly toxic to cells with high ER load, so we examined their effect on cells expressing the Wnt family of secreted glycoprotein growth factors. Molecular analysis determined that these ER stress-inducing stilbenes could block Wnt processing and also induce autophagy in acute lymphoblastic leukemia cells expressing Wnt16. Combining pterostilbene (to induce ER stress) with chloroquine (to inhibit autophagy) lead to significant cellular toxicity in cells from aggressive acute lymphoblastic leukemia. CONCLUSIONS: Plant stilbenes are potent inducers of ER stress. However, their toxicity is more pronounced in cancer cells expressing Wnt growth factors. The toxicity of stilbenes in these ALL cells can be potentiated by the addition of autophagy inhibitors, suggesting a possible therapeutic application."
autophagy inhibitors,toxicity of stilbenes,potentiated by,1,positive,in vitro,cells from aggressive acute lymphoblastic leukemia,https://www.ncbi.nlm.nih.gov/pubmed/26477823,"BACKGROUND: Environmental conditions or chemical agents can interfere with the function of the endoplasmic reticulum, and the resulting endoplasmic reticulum (ER) stress can be toxic to the cell if it is not relieved. The classical compensatory response to ER stress is the unfolded protein response (UPR) that reduces protein load in the ER. However, autophagy may also compensate by removing large insoluble protein aggregates. Agents that stress the ER can have anti-cancer activity, and novel applications of ER stress inducing agents are being investigated. Plant stilbenes are a class of stress responsive molecules that includes resveratrol, which are being investigated as potential therapeutics in humans for conditions such as aging or cancer. RESULTS: We performed a screen of 1726 small, drug like molecules to identify those that could activate an ER-stress responsive luciferase gene. After secondary screening, we determined that the plant stilbenes pterostilbene and piceatannol were the most potent inducers of ER stress from this group. ER stress can be particularly toxic to cells with high ER load, so we examined their effect on cells expressing the Wnt family of secreted glycoprotein growth factors. Molecular analysis determined that these ER stress-inducing stilbenes could block Wnt processing and also induce autophagy in acute lymphoblastic leukemia cells expressing Wnt16. Combining pterostilbene (to induce ER stress) with chloroquine (to inhibit autophagy) lead to significant cellular toxicity in cells from aggressive acute lymphoblastic leukemia. CONCLUSIONS: Plant stilbenes are potent inducers of ER stress. However, their toxicity is more pronounced in cancer cells expressing Wnt growth factors. The toxicity of stilbenes in these ALL cells can be potentiated by the addition of autophagy inhibitors, suggesting a possible therapeutic application."
dark chocolate,risk of age-related neurodegenerative disorders,reduce,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29417473,"Increasing evidence suggests that regular consumption of coffee, tea and dark chocolate (cacao) can promote brain health and may reduce the risk of age-related neurodegenerative disorders. However, the complex array of phytochemicals in coffee and cacao beans and tea leaves has hindered a clear understanding of the component(s) that affect neuronal plasticity and resilience. One class of phytochemicals present in relatively high amounts in coffee, tea and cacao are methylxanthines. Among such methylxanthines, caffeine has been the most widely studied and has clear effects on neuronal network activity, promotes sustained cognitive performance and can protect neurons against dysfunction and death in animal models of stroke, Alzheimer's disease and Parkinson's disease. Caffeine's mechanism of action relies on antagonism of various subclasses of adenosine receptors. Downstream xanthine metabolites, such as theobromine and theophylline, may also contribute to the beneficial effects of coffee, tea and cacao on brain health."
caffeine,sustained cognitive performance,promotes,1,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29417473,"Increasing evidence suggests that regular consumption of coffee, tea and dark chocolate (cacao) can promote brain health and may reduce the risk of age-related neurodegenerative disorders. However, the complex array of phytochemicals in coffee and cacao beans and tea leaves has hindered a clear understanding of the component(s) that affect neuronal plasticity and resilience. One class of phytochemicals present in relatively high amounts in coffee, tea and cacao are methylxanthines. Among such methylxanthines, caffeine has been the most widely studied and has clear effects on neuronal network activity, promotes sustained cognitive performance and can protect neurons against dysfunction and death in animal models of stroke, Alzheimer's disease and Parkinson's disease. Caffeine's mechanism of action relies on antagonism of various subclasses of adenosine receptors. Downstream xanthine metabolites, such as theobromine and theophylline, may also contribute to the beneficial effects of coffee, tea and cacao on brain health."
caffeine,Alzheimer's disease,protect,-1,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29417473,"Increasing evidence suggests that regular consumption of coffee, tea and dark chocolate (cacao) can promote brain health and may reduce the risk of age-related neurodegenerative disorders. However, the complex array of phytochemicals in coffee and cacao beans and tea leaves has hindered a clear understanding of the component(s) that affect neuronal plasticity and resilience. One class of phytochemicals present in relatively high amounts in coffee, tea and cacao are methylxanthines. Among such methylxanthines, caffeine has been the most widely studied and has clear effects on neuronal network activity, promotes sustained cognitive performance and can protect neurons against dysfunction and death in animal models of stroke, Alzheimer's disease and Parkinson's disease. Caffeine's mechanism of action relies on antagonism of various subclasses of adenosine receptors. Downstream xanthine metabolites, such as theobromine and theophylline, may also contribute to the beneficial effects of coffee, tea and cacao on brain health."
caffeine,Parkinson's disease,protect,-1,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29417473,"Increasing evidence suggests that regular consumption of coffee, tea and dark chocolate (cacao) can promote brain health and may reduce the risk of age-related neurodegenerative disorders. However, the complex array of phytochemicals in coffee and cacao beans and tea leaves has hindered a clear understanding of the component(s) that affect neuronal plasticity and resilience. One class of phytochemicals present in relatively high amounts in coffee, tea and cacao are methylxanthines. Among such methylxanthines, caffeine has been the most widely studied and has clear effects on neuronal network activity, promotes sustained cognitive performance and can protect neurons against dysfunction and death in animal models of stroke, Alzheimer's disease and Parkinson's disease. Caffeine's mechanism of action relies on antagonism of various subclasses of adenosine receptors. Downstream xanthine metabolites, such as theobromine and theophylline, may also contribute to the beneficial effects of coffee, tea and cacao on brain health."
theobromine,beneficial effects of coffee,contribute,1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29417473,"Increasing evidence suggests that regular consumption of coffee, tea and dark chocolate (cacao) can promote brain health and may reduce the risk of age-related neurodegenerative disorders. However, the complex array of phytochemicals in coffee and cacao beans and tea leaves has hindered a clear understanding of the component(s) that affect neuronal plasticity and resilience. One class of phytochemicals present in relatively high amounts in coffee, tea and cacao are methylxanthines. Among such methylxanthines, caffeine has been the most widely studied and has clear effects on neuronal network activity, promotes sustained cognitive performance and can protect neurons against dysfunction and death in animal models of stroke, Alzheimer's disease and Parkinson's disease. Caffeine's mechanism of action relies on antagonism of various subclasses of adenosine receptors. Downstream xanthine metabolites, such as theobromine and theophylline, may also contribute to the beneficial effects of coffee, tea and cacao on brain health."
theobromine,angiogenesis,antagonists,-1,positive,in vivo,50% epiboly stage (5.2 hpf) of zebrafish embryos,https://www.ncbi.nlm.nih.gov/pubmed/27802896,"Angiogenesis, formation of new blood vessels is an important process involved in neovascular diseases and tumor progression. Understanding and defining novel therapeutic targets of neovascular diseases like retinopathy of prematurity, diabetic retinopathy and age-related macular degeneration have been hindered by a lack of appropriate animal models. Zebrafish provides an excellent vertebrate model to study above disorders since its circulatory system and retinal layers are similar to mammals. Adenosine is a known mediator of angiogenesis in hypoxic condition and adenosine receptor antagonists such as theophylline, theobromine are known to exert antiangiogenic properties. We evaluated the anti-angiogenic potential of a methylxanthine pentoxifylline (PTX) with various concentrations (0.1-1mM) at 50% epiboly stage (5.2 hpf) of zebrafish embryos and studied the mRNA expression of major angiogenic factors like vegfaa and its receptors under normal conditions and when treated with an adenosine analog NECA (5'-N-ethylcarboxamidoadenosine). Upregulation of adenosine receptors, hif-1α and vegfaa by NECA could possibly mimic hypoxic condition, but PTX downregulated vegfaa and other growth factors at 1mM concentration. Vegfa protein expression was also downregulated by PTX in the retina and the compound did not damage the retinal cells. Embryos treated with PTX generated abnormal phenotypic variants with poor vasculature, tail bending and developmental delay at 1mM. Survival rates, heart rate and hatching rates were also significantly lower. Targeting the vegf signaling pathway with small molecules inhibiting adenosine receptors in addition to antagonizing vegf might be a promising approach to treat neovascular diseases of the retina and also tumors."
pentoxifylline,vegfaa,downregulated,-1,positive,in vivo,50% epiboly stage (5.2 hpf) of zebrafish embryos,https://www.ncbi.nlm.nih.gov/pubmed/27802896,"Angiogenesis, formation of new blood vessels is an important process involved in neovascular diseases and tumor progression. Understanding and defining novel therapeutic targets of neovascular diseases like retinopathy of prematurity, diabetic retinopathy and age-related macular degeneration have been hindered by a lack of appropriate animal models. Zebrafish provides an excellent vertebrate model to study above disorders since its circulatory system and retinal layers are similar to mammals. Adenosine is a known mediator of angiogenesis in hypoxic condition and adenosine receptor antagonists such as theophylline, theobromine are known to exert antiangiogenic properties. We evaluated the anti-angiogenic potential of a methylxanthine pentoxifylline (PTX) with various concentrations (0.1-1mM) at 50% epiboly stage (5.2 hpf) of zebrafish embryos and studied the mRNA expression of major angiogenic factors like vegfaa and its receptors under normal conditions and when treated with an adenosine analog NECA (5'-N-ethylcarboxamidoadenosine). Upregulation of adenosine receptors, hif-1α and vegfaa by NECA could possibly mimic hypoxic condition, but PTX downregulated vegfaa and other growth factors at 1mM concentration. Vegfa protein expression was also downregulated by PTX in the retina and the compound did not damage the retinal cells. Embryos treated with PTX generated abnormal phenotypic variants with poor vasculature, tail bending and developmental delay at 1mM. Survival rates, heart rate and hatching rates were also significantly lower. Targeting the vegf signaling pathway with small molecules inhibiting adenosine receptors in addition to antagonizing vegf might be a promising approach to treat neovascular diseases of the retina and also tumors."
